Genre;Virus2;Virus;Temperature;pH;Standardised_matrices;log10D
Orthopoxvirus;Cowpox virus;CPXV;56;NA;Liquid culture medium;1,064298023
Orthopoxvirus;Vaccinia virus;VACV;56;NA;Liquid culture medium;0,692363757
Orthopoxvirus;Buffalopox virus;BPXV;56;NA;Liquid culture medium;0,924484526
Orthopoxvirus;Buffalopox virus;BPXV;56;NA;Liquid culture medium;0,793048565
Orthopoxvirus;Buffalopox virus;BPXV;56;NA;Liquid culture medium;0,819998917
Orthopoxvirus;Buffalopox virus;BPXV;56;NA;Liquid culture medium;0,795236417
Orthopoxvirus;Variola virus;VARV;40;4.5;Liquid culture medium;1,575844206
Orthopoxvirus;Variola virus;VARV;40;4.5;Liquid culture medium;1,352741563
Orthopoxvirus;Variola virus;VARV;40;4.5;Liquid culture medium;1,112525594
Orthopoxvirus;Variola virus;VARV;40;4.5;Liquid culture medium;0,767003298
Orthopoxvirus;Variola virus;VARV;50;7.4;Food (Dairy drinks);1,90615084
Orthopoxvirus;Variola virus;VARV;50;7.4;Liquid culture medium;1,717619827
Orthopoxvirus;Variola virus;VARV;50;7.4;Liquid culture medium;1,532257654
Orthopoxvirus;Variola virus;VARV;56;7.4;Liquid culture medium;1,187240772
Orthopoxvirus;Variola virus;VARV;56;7.4;Liquid culture medium;1,147190258
Orthopoxvirus;Vaccinia virus;VACV;56;7.4;Liquid culture medium;1,176289115
Orthopoxvirus;Vaccinia virus;VACV;56;7.4;Liquid culture medium;1,421590334
Yatapoxvirus;Yaba monkey tumor virus;YMTV;30;7.2;Liquid culture medium;2,987641701
Yatapoxvirus;Yaba monkey tumor virus;YMTV;33;7.2;Liquid culture medium;2,661527278
Yatapoxvirus;Yaba monkey tumor virus;YMTV;35;7.2;Liquid culture medium;2,370074359
Yatapoxvirus;Yaba monkey tumor virus;YMTV;37;7.2;Liquid culture medium;2,024903542
Yatapoxvirus;Yaba monkey tumor virus;YMTV;40;7.2;Liquid culture medium;1,931125845
Orthopoxvirus;Cowpox virus;CPXV;50;7.2;Liquid culture medium;1,25483054
Orthopoxvirus;Cowpox virus;CPXV;50;NA;Liquid culture medium;1,206887214
Orthopoxvirus;Cowpox virus;CPXV;50;7.2;Liquid culture medium;1,280568263
Orthopoxvirus;Cowpox virus;CPXV;50;NA;Liquid culture medium;1,226923121
Orthopoxvirus;Vaccinia virus;VACV;65;NA;Food (Dairy drinks);1,053875381
Orthopoxvirus;Vaccinia virus;VACV;65;NA;Food (Dairy drinks);0,87506127
Orthopoxvirus; Rabbitpox virus;RPXV;55;NA;Liquid culture medium;0,930544474
Leporipoxvirus;Myxoma virus;MYXV;50;NA;Liquid culture medium;1,863833238
Leporipoxvirus;Myxoma virus;MYXV;55;NA;Liquid culture medium;0,835615994
Leporipoxvirus;Myxoma virus;MYXV;52,50;NA;Liquid culture medium;1,86940688
Leporipoxvirus;Myxoma virus;MYXV;53;NA;Liquid culture medium;1,422930603
Leporipoxvirus;Myxoma virus;MYXV;57,50;NA;Liquid culture medium;0,193515157
Leporipoxvirus;Myxoma virus;MYXV;60;NA;Liquid culture medium;6,47149E-09
Orthopoxvirus;Vaccinia virus;VACV;50;7.2;Liquid culture medium;1,219611259
Orthopoxvirus;Vaccinia virus;VACV;52,60;7.2;Liquid culture medium;0,747203041
Orthopoxvirus;Vaccinia virus;VACV;55;7.2;Liquid culture medium;0,464796626
Orthopoxvirus;Vaccinia virus;VACV;60;7.2;Liquid culture medium;0,251444096
Orthopoxvirus;Vaccinia virus;VACV;55;7.2;Liquid culture medium;0,803256279
